H1_heme	C5_GO_RIBOSOME_BIOGENESIS	GSE628_t21_t0_Erythroid_Up_Genes	Transfac_GATA1
SLC30A1	RPL13A	ABCB10	
SLC30A10	RPL14	STX5	
SLC4A1	RPL15	NAT6	
SLC6A8	RPL17	ARPC1A	
SLC6A9	RPL18	CTSF	
SLC7A11	RPL18A	GABARAP	
SMOX	RPL19	NME4	
SNCA	RPL21	CDC42EP4	
SPTA1	RPL22	C1orf85	
SPTB	RPL23	TULP2	
SYNJ1	RPL23A	TMEM9B	
TAL1	RPL24	UBE2L6	
TCEA1	RPL26	DNAJB2	
TFDP2	RPL26L1	PTPLAD1	
TFRC	RPL27	TRAPPC2L	
TMCC2	RPL27A	WSB2	
TMEM9B	RPL28	CTSZ	
TNRC6B	RPL29	SIRT2	
TNS1	RPL3	ZFAND6	
TOP1	RPL30	ROGDI	
TRAK2	RPL31	SDHAF2	
TRIM10	RPL32	YPEL3	
TRIM58	RPL34	JOSD2	
TSPAN5	RPL35	NECAP2	
TSPO2	RPL35A	PRR13	
TYR	RPL36	TMEM14C	
UBAC1	RPL36A	GRINA	
UCP2	RPL37	CHCHD7	
UROD	RPL37A	MGST3	
UROS	RPL38	RNF181	
USP15	RPL39	LRRC57	
VEZF1	RPL3L	ORMDL3	
XK	RPL4	TBC1D15	
XPO7	RPL41	MRPL33	
YPEL5	RPL5	NDUFA6	
	RPL6	FAM132A	
	RPL7	MAP1LC3B	
	RPL7A	ABHD5	
	RPL7L1	SLC39A8	
	RPL8	UBE2R2	
	RPL9	TPRG1L	
	RPLP0	TMEM66	
	RPLP0P6	NPC2	
	RPLP1	RRAGA	
	RPLP2	C4orf34	
	RPP14	C22orf13	
	RPP21	DNASE1L1	
	RPP25	DCTN2	
	RPP30	RPRD1B	
	RPP38	NKIRAS2	
	RPP40	STRADA	
	RPS10	CDKN3	
	RPS10P5	PDZD11	
	RPS11	TMX1	
	RPS12	ATP6V1D	
	RPS13	NUDT9	
	RPS14	TMEM49	
	RPS15	CCDC6	
	RPS15A	SUN1	
	RPS16	MTMR14	
	RPS17	UBAC1	
	RPS18		
	RPS19		
	RPS2		
	RPS20		
	RPS21		
	RPS23		
	RPS24		
	RPS25		
	RPS26		
	RPS27		
	RPS27A		
	RPS27L		
	RPS28		
	RPS29		
	RPS3		
	RPS3A		
	RPS4X		
	RPS4Y1		
	RPS5		
	RPS6		
	RPS7		
	RPS8		
	RPS9		
	RPSA		
	RRN3		
	RRNAD1		
	RRP1		
	RRP1B		
	RRP36		
	RRP7A		
	RRP7B		
	RRP8		
	RRP9		
	RRS1		
	RSL24D1		
	SART1		
	SBDS		
	SDAD1		
	SENP3		
	SETD4		
	SIRT1		
	SKIV2L2		
	SRFBP1		
	SURF6		
	SUV39H1		
	TBL3		
	TEX10		
	TFB1M		
	TFB2M		
	THUMPD1		
	TRMT112		
	TSC1		
	TSR1		
	TSR2		
	UBA52		
	UTP11L		
	UTP14A		
	UTP14C		
	UTP15		
	UTP18		
	UTP20		
	UTP23		
	UTP3		
	UTP6		
	VCX		
	WBP11		
	WBSCR22		
	WDR12		
	WDR18		
	WDR3		
	WDR36		
	WDR43		
	WDR46		
	WDR55		
	WDR74		
	WDR75		
	XPO1		
	XRN2		
	YBEY		
	ZNF622		
	ZNF658		
	ZNHIT6		
